Treatment,COPY_MUT_PROB,COPY_INS_PROB,COPY_DEL_PROB,DIVIDE_INS_PROB,DIVIDE_DEL_PROB,DIVIDE_SLIP_PROB,SLIP_FILL_MODE,Replicate #,Length,Task Coding Sites Average,Task Coding Sites Standard Deviation,Information Type,Information,Information Concentration
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1976,989,2.378675786921843e+25,0.0,viable,23.0,0.023255813953488372
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1955,1002,6.983691298682516e+25,0.0,Task Count,317.0,0.31636726546906185
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1955,1002,6.983691298682516e+25,0.0,gest_time,474.0,0.47305389221556887
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1955,1002,6.983691298682516e+25,0.0,comp_merit,317.0,0.31636726546906185
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1955,1002,6.983691298682516e+25,0.0,merit,370.0,0.36926147704590817
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1955,1002,6.983691298682516e+25,0.0,fitness,544.0,0.54291417165668665
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1955,1002,6.983691298682516e+25,0.0,efficiency,503.0,0.50199600798403199
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1955,1002,6.983691298682516e+25,0.0,viable,55.0,0.054890219560878244
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1961,977,4.136009250235007e+25,0.0,Task Count,267.0,0.27328556806550663
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1961,977,4.136009250235007e+25,0.0,gest_time,400.0,0.40941658137154557
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1961,977,4.136009250235007e+25,0.0,comp_merit,267.0,0.27328556806550663
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1961,977,4.136009250235007e+25,0.0,merit,326.0,0.3336745138178096
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1961,977,4.136009250235007e+25,0.0,fitness,475.0,0.48618219037871035
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1961,977,4.136009250235007e+25,0.0,efficiency,447.0,0.45752302968270214
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1961,977,4.136009250235007e+25,0.0,viable,37.0,0.037871033776867964
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1959,961,1.3006842603295101e+26,0.0,Task Count,312.0,0.32466181061394384
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1959,961,1.3006842603295101e+26,0.0,gest_time,523.0,0.54422476586888657
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1959,961,1.3006842603295101e+26,0.0,comp_merit,312.0,0.32466181061394384
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1959,961,1.3006842603295101e+26,0.0,merit,352.0,0.36628511966701355
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1959,961,1.3006842603295101e+26,0.0,fitness,563.0,0.58584807492195634
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1959,961,1.3006842603295101e+26,0.0,efficiency,541.0,0.56295525494276799
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1959,961,1.3006842603295101e+26,0.0,viable,120.0,0.12486992715920915
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1965,973,5.370694058351241e+25,0.0,Task Count,309.0,0.31757451181911611
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1965,973,5.370694058351241e+25,0.0,gest_time,382.0,0.39260020554984582
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1965,973,5.370694058351241e+25,0.0,comp_merit,309.0,0.31757451181911611
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1965,973,5.370694058351241e+25,0.0,merit,367.0,0.37718396711202468
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1965,973,5.370694058351241e+25,0.0,fitness,499.0,0.51284686536485102
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1965,973,5.370694058351241e+25,0.0,efficiency,408.0,0.41932168550873589
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1965,973,5.370694058351241e+25,0.0,viable,48.0,0.049331963001027747
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1977,1020,3.2067112590468807e+25,0.0,Task Count,220.0,0.21568627450980393
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1977,1020,3.2067112590468807e+25,0.0,gest_time,364.0,0.35686274509803922
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1977,1020,3.2067112590468807e+25,0.0,comp_merit,220.0,0.21568627450980393
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1977,1020,3.2067112590468807e+25,0.0,merit,305.0,0.29901960784313725
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1977,1020,3.2067112590468807e+25,0.0,fitness,435.0,0.4264705882352941
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1977,1020,3.2067112590468807e+25,0.0,efficiency,399.0,0.39117647058823529
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1977,1020,3.2067112590468807e+25,0.0,viable,23.0,0.022549019607843137
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1971,983,6.327750600582471e+25,0.0,Task Count,323.0,0.32858596134282808
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1971,983,6.327750600582471e+25,0.0,gest_time,471.0,0.47914547304170907
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1971,983,6.327750600582471e+25,0.0,comp_merit,323.0,0.32858596134282808
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1971,983,6.327750600582471e+25,0.0,merit,361.0,0.36724313326551372
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1971,983,6.327750600582471e+25,0.0,fitness,521.0,0.53001017293997965
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1971,983,6.327750600582471e+25,0.0,efficiency,486.0,0.49440488301119023
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1971,983,6.327750600582471e+25,0.0,viable,62.0,0.063072227873855538
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1950,1003,7.63118693926321e+25,0.0,Task Count,332.0,0.33100697906281157
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1950,1003,7.63118693926321e+25,0.0,gest_time,489.0,0.48753738783649053
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1950,1003,7.63118693926321e+25,0.0,comp_merit,332.0,0.33100697906281157
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1950,1003,7.63118693926321e+25,0.0,merit,375.0,0.37387836490528414
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1950,1003,7.63118693926321e+25,0.0,fitness,532.0,0.53040877367896311
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1950,1003,7.63118693926321e+25,0.0,efficiency,507.0,0.50548354935194417
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1950,1003,7.63118693926321e+25,0.0,viable,59.0,0.058823529411764705
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1962,980,1.5536459598456484e+25,0.0,Task Count,254.0,0.25918367346938775
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1962,980,1.5536459598456484e+25,0.0,gest_time,401.0,0.40918367346938778
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1962,980,1.5536459598456484e+25,0.0,comp_merit,254.0,0.25918367346938775
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1962,980,1.5536459598456484e+25,0.0,merit,297.0,0.30306122448979594
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1962,980,1.5536459598456484e+25,0.0,fitness,475.0,0.48469387755102039
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1962,980,1.5536459598456484e+25,0.0,efficiency,430.0,0.43877551020408162
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1962,980,1.5536459598456484e+25,0.0,viable,15.0,0.015306122448979591
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1966,835,7.452037474303942e+25,0.0,Task Count,288.0,0.34491017964071857
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1966,835,7.452037474303942e+25,0.0,gest_time,389.0,0.46586826347305388
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1966,835,7.452037474303942e+25,0.0,comp_merit,288.0,0.34491017964071857
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1966,835,7.452037474303942e+25,0.0,merit,323.0,0.38682634730538923
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1966,835,7.452037474303942e+25,0.0,fitness,449.0,0.53772455089820359
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1966,835,7.452037474303942e+25,0.0,efficiency,418.0,0.5005988023952096
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1966,835,7.452037474303942e+25,0.0,viable,74.0,0.08862275449101796
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1972,1003,6.566989408377965e+25,0.0,Task Count,237.0,0.23629112662013957
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1972,1003,6.566989408377965e+25,0.0,gest_time,419.0,0.41774675972083747
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1972,1003,6.566989408377965e+25,0.0,comp_merit,237.0,0.23629112662013957
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1972,1003,6.566989408377965e+25,0.0,merit,318.0,0.31704885343968098
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1972,1003,6.566989408377965e+25,0.0,fitness,478.0,0.47657028913260219
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1972,1003,6.566989408377965e+25,0.0,efficiency,439.0,0.43768693918245266
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1972,1003,6.566989408377965e+25,0.0,viable,60.0,0.059820538384845461
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1951,838,5.794586319555554e+25,0.0,Task Count,293.0,0.34964200477326968
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1951,838,5.794586319555554e+25,0.0,gest_time,396.0,0.47255369928400953
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1951,838,5.794586319555554e+25,0.0,comp_merit,293.0,0.34964200477326968
