Treatment,COPY_MUT_PROB,COPY_INS_PROB,COPY_DEL_PROB,DIVIDE_INS_PROB,DIVIDE_DEL_PROB,DIVIDE_SLIP_PROB,SLIP_FILL_MODE,Replicate #,Organism ID,Update Born,Task Count
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,2142,8480376,198297,101
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,2154,2456262,199991,690
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,2158,2856255,199039,999
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,2133,3120778,199888,826
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,2137,2782356,199927,659
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,2149,13255916,199831,100
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,2143,2205677,199890,978
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,2155,2503918,199876,904
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,2159,3313380,199956,649
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,2134,2152340,199914,914
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,2140,2923967,199681,885
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,2138,2616066,199672,772
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,2144,5731951,199969,363
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,2156,2119358,199620,648
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,2150,2081201,199880,929
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,2141,2421394,199759,924
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,2139,2363618,199721,856
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,2145,2594192,199783,417
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,2151,2443888,199583,978
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,2130,2582072,199388,979
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,2146,2568387,199625,1009
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,2152,2349657,199659,925
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,2131,1891497,199988,853
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,2135,2508738,199822,694
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,2147,3338220,198225,827
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,2153,2448097,198460,692
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,2047,5434316,199031,245
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,2061,14497818,197620,104
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,2059,14733647,199690,102
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,2065,20233502,199017,163
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,2044,15011236,199382,102
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,2050,6608456,199912,539
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,2048,9562030,199681,167
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,2066,18341132,199575,108
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,2045,17321421,199451,104
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,2051,11448209,199563,148
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,2049,15338516,194471,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,2055,24439959,199134,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,2067,13927320,193176,130
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,2046,6239373,197658,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,2040,11964965,198182,101
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,2052,14231792,199692,217
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,2056,19631640,199701,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,2068,13949908,198260,107
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,2062,13949275,199539,339
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,2041,9947688,198968,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,2053,10902844,199269,104
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,2057,9655390,199226,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,2069,9830779,197015,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,2063,11137478,198003,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,2042,21552697,198878,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,2054,14332045,199124,106
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,2060,22007352,199222,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,2058,9534396,198811,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,2064,11595400,199373,104
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,2043,16280823,199410,183
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1973,3932978,199831,975
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1952,3559851,199600,1001
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1956,4497836,199739,955
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1970,5467956,199741,777
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1968,3533700,199207,1010
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1974,2997519,199552,1015
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1978,3752747,199044,948
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1953,4151532,199115,1008
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1957,3479335,199707,1008
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1969,3456193,199681,942
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1963,4191375,199673,1021
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1975,3933702,199097,1020
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1979,3498678,199316,994
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1954,3426515,199411,1004
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1960,3449406,199566,979
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1958,4020870,199662,955
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1964,3620177,199608,983
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1976,3257195,199587,989
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1955,3377256,199495,1002
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1961,3767469,199105,977
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1959,2793250,199279,961
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1965,4153237,199460,973
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1977,3975527,199653,1020
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1971,2887412,199359,983
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1950,3393867,199071,1003
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1962,3415825,199425,980
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1966,3533962,199486,835
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1972,2993611,199585,1003
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1951,4221009,199434,838
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1967,4150948,199655,1010
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2086,13808030,199768,183
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2098,9247007,198647,100
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,2092,18375880,199147,100
