Treatment,COPY_MUT_PROB,COPY_INS_PROB,COPY_DEL_PROB,DIVIDE_INS_PROB,DIVIDE_DEL_PROB,DIVIDE_SLIP_PROB,SLIP_FILL_MODE,Replicate #,Length,Task Coding Sites Average,Task Coding Sites Standard Deviation,Information Type,Information,Information Concentration
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1644,115,39.5,11.368817000902073,gest_time,64.0,0.55652173913043479
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1644,115,39.5,11.368817000902073,comp_merit,61.0,0.5304347826086957
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1644,115,39.5,11.368817000902073,merit,64.0,0.55652173913043479
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1644,115,39.5,11.368817000902073,fitness,91.0,0.79130434782608694
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1644,115,39.5,11.368817000902073,efficiency,74.0,0.64347826086956517
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1644,115,39.5,11.368817000902073,viable,21.0,0.18260869565217391
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1623,100,19.0,4.4077853201547175,Task Count,45.0,0.45000000000000001
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1623,100,19.0,4.4077853201547175,gest_time,60.0,0.59999999999999998
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1623,100,19.0,4.4077853201547175,comp_merit,45.0,0.45000000000000001
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1623,100,19.0,4.4077853201547175,merit,48.0,0.47999999999999998
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1623,100,19.0,4.4077853201547175,fitness,78.0,0.78000000000000003
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1623,100,19.0,4.4077853201547175,efficiency,60.0,0.59999999999999998
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1623,100,19.0,4.4077853201547175,viable,10.0,0.10000000000000001
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1627,162,21.571428571428573,4.1354613788943224,Task Count,46.0,0.2839506172839506
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1627,162,21.571428571428573,4.1354613788943224,gest_time,70.0,0.43209876543209874
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1627,162,21.571428571428573,4.1354613788943224,comp_merit,46.0,0.2839506172839506
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1627,162,21.571428571428573,4.1354613788943224,merit,53.0,0.3271604938271605
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1627,162,21.571428571428573,4.1354613788943224,fitness,87.0,0.53703703703703709
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1627,162,21.571428571428573,4.1354613788943224,efficiency,76.0,0.46913580246913578
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1627,162,21.571428571428573,4.1354613788943224,viable,21.0,0.12962962962962962
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1641,100,26.428571428571427,5.2059620452253137,Task Count,54.0,0.54000000000000004
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1641,100,26.428571428571427,5.2059620452253137,gest_time,63.0,0.63
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1641,100,26.428571428571427,5.2059620452253137,comp_merit,54.0,0.54000000000000004
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1641,100,26.428571428571427,5.2059620452253137,merit,59.0,0.58999999999999997
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1641,100,26.428571428571427,5.2059620452253137,fitness,79.0,0.79000000000000004
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1641,100,26.428571428571427,5.2059620452253137,efficiency,63.0,0.63
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1641,100,26.428571428571427,5.2059620452253137,viable,16.0,0.16
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1639,100,24.571428571428573,2.8212025225902142,Task Count,53.0,0.53000000000000003
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1639,100,24.571428571428573,2.8212025225902142,gest_time,63.0,0.63
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1639,100,24.571428571428573,2.8212025225902142,comp_merit,53.0,0.53000000000000003
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1639,100,24.571428571428573,2.8212025225902142,merit,56.0,0.56000000000000005
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1639,100,24.571428571428573,2.8212025225902142,fitness,82.0,0.81999999999999995
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1639,100,24.571428571428573,2.8212025225902142,efficiency,64.0,0.64000000000000001
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1639,100,24.571428571428573,2.8212025225902142,viable,15.0,0.14999999999999999
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1645,100,26.285714285714285,7.9590790155337823,Task Count,47.0,0.46999999999999997
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1645,100,26.285714285714285,7.9590790155337823,gest_time,61.0,0.60999999999999999
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1645,100,26.285714285714285,7.9590790155337823,comp_merit,47.0,0.46999999999999997
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1645,100,26.285714285714285,7.9590790155337823,merit,47.0,0.46999999999999997
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1645,100,26.285714285714285,7.9590790155337823,fitness,71.0,0.70999999999999996
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1645,100,26.285714285714285,7.9590790155337823,efficiency,61.0,0.60999999999999999
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1645,100,26.285714285714285,7.9590790155337823,viable,21.0,0.20999999999999999
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1649,156,24.5,6.2649820430708338,Task Count,56.0,0.35897435897435898
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1649,156,24.5,6.2649820430708338,gest_time,78.0,0.5
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1649,156,24.5,6.2649820430708338,comp_merit,56.0,0.35897435897435898
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1649,156,24.5,6.2649820430708338,merit,68.0,0.4358974358974359
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1649,156,24.5,6.2649820430708338,fitness,95.0,0.60897435897435892
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1649,156,24.5,6.2649820430708338,efficiency,79.0,0.50641025641025639
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1649,156,24.5,6.2649820430708338,viable,28.0,0.17948717948717949
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1624,100,26.166666666666668,4.8448139512495443,Task Count,42.0,0.41999999999999998
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1624,100,26.166666666666668,4.8448139512495443,gest_time,65.0,0.65000000000000002
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1624,100,26.166666666666668,4.8448139512495443,comp_merit,42.0,0.41999999999999998
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1624,100,26.166666666666668,4.8448139512495443,merit,44.0,0.44
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1624,100,26.166666666666668,4.8448139512495443,fitness,69.0,0.68999999999999995
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1624,100,26.166666666666668,4.8448139512495443,efficiency,65.0,0.65000000000000002
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1624,100,26.166666666666668,4.8448139512495443,viable,16.0,0.16
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1630,167,36.857142857142854,5.8414423715031063,Task Count,57.0,0.3413173652694611
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1630,167,36.857142857142854,5.8414423715031063,gest_time,62.0,0.3712574850299401
