Treatment,COPY_MUT_PROB,COPY_INS_PROB,COPY_DEL_PROB,DIVIDE_INS_PROB,DIVIDE_DEL_PROB,DIVIDE_SLIP_PROB,SLIP_FILL_MODE,Replicate #,Organism ID,Update Born,Task Count
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1573,47010169,199939,104
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1577,39811915,199926,100
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1589,46157314,199919,101
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1568,47568723,199937,102
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1562,42208497,199974,104
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1574,42976888,199963,106
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1580,46904439,199973,103
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1578,10653904,199866,233
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1584,48036452,199967,101
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1563,47705735,199967,101
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1575,41830068,199922,100
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1581,35050006,199923,105
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1579,41702197,199905,103
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1585,44781214,199942,100
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1560,48117036,199978,100
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1564,47913639,199962,100
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1576,47163550,199929,101
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1570,40542632,199976,100
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1582,46872259,199913,100
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1586,39996156,199973,102
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1561,48603967,199964,103
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1565,45963189,199897,102
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1571,46826258,199950,100
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1569,44713330,199949,100
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1583,46368601,199921,100
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1587,44686404,199926,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,1676,18190650,199716,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,1655,18739176,199736,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,1661,21952979,199392,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,1659,18117889,199215,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,1665,22160574,199394,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,1677,20711480,199234,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,1656,18107494,199767,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,1650,18709985,199658,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,1662,18535418,199022,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,1666,25627619,199483,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,1678,18580649,199675,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,1672,14086729,199681,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,1651,18180435,199576,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,1663,18528417,199485,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,1667,18599638,199781,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,1673,22376433,199466,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,1652,14838480,199727,139
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,1670,18699557,199634,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,1668,18226147,199781,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,1674,18783653,199319,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,1653,18212798,199626,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,1657,18372333,199578,120
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,1671,18736600,199797,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,1669,21574577,199251,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,1675,22144283,199246,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,1679,18170283,199735,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,1654,18348684,199441,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,1660,21734786,199893,100
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,1658,22731478,199626,101
Slip-random,0.0,0.0,0.0,0.0,0.0,0.05,2,1664,22349865,199752,100
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1593,12913250,199693,161
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1604,6201967,199468,382
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1616,4468821,199810,673
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1590,5135079,199772,532
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1601,8986430,199758,244
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1594,4732396,199367,866
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1605,5423634,199529,602
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1617,12732674,199711,126
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1591,4293513,199197,748
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1602,4780080,199471,603
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1595,10055691,199582,310
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1606,8842713,199557,196
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1599,7540370,199855,543
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1618,9656973,199816,365
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1612,4566106,199829,846
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1603,8951929,199777,272
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1596,4264350,199319,734
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1607,7503655,199653,208
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1613,4010272,199486,642
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1597,4386910,199522,617
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1610,4816007,199183,368
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1608,8509324,199695,368
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1614,5905087,199311,588
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1598,5808536,199490,589
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1592,8042084,199726,336
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1611,8271421,199608,316
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1609,5208235,199847,815
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1615,7149760,199790,673
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1619,4103743,199463,761
Slip-duplicate,0.0,0.0,0.0,0.0,0.0,0.05,0,1600,11420812,199619,256
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,1682,20371027,199460,129
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,1686,17758684,199291,100
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,1705,24043152,199286,100
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,1698,12873395,199588,100
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,1709,18489816,199613,100
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,1683,18925785,199409,100
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,1687,19292588,199762,100
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,1706,17841881,199542,106
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,1700,23587603,199630,100
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,1699,18711769,199802,100
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,1684,18769011,199272,100
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,1690,12766796,199240,115
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,1688,12902302,199111,100
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,1701,19511230,198805,100
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,1694,15774433,199651,162
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,1685,16588671,199519,137
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,1691,17176932,199766,144
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,1689,19118906,199697,107
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,1702,19374428,199637,127
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,1695,11813927,199736,282
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,1680,18844391,199760,100
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,1692,21315889,199360,110
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,1703,19206980,199487,100
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,1696,18580470,199248,100
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,1707,18820888,199546,113
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,1681,16313768,199733,143
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,1693,19469636,199101,100
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,1704,18296932,199670,121
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,1697,19073179,199683,100
Slip-scatter,0.0,0.0,0.0,0.0,0.0,0.05,5,1708,19006704,199661,100
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1714,18746398,199784,173
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1726,15786520,199581,163
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1732,16579784,199598,148
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1736,10739547,199468,183
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1711,5966907,199189,464
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1715,8589596,199603,355
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1727,22279628,198901,100
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1733,15178451,199742,218
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1737,15284639,199815,168
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1712,10533423,199775,293
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1716,28020087,197872,100
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1728,11490397,199628,251
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1722,7553256,199791,428
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1734,12506165,199463,235
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1738,8474604,199573,475
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1713,7226089,199364,427
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1717,28092337,199825,174
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1723,11970235,199459,198
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1735,6932531,199376,332
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1739,8978649,199634,275
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1720,12948140,199787,232
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1718,7118387,199812,412
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1724,12265394,199640,141
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1730,18005045,199227,186
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1721,9576116,199788,236
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1719,15240223,199578,234
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1725,13977135,199731,217
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1731,9492759,199477,322
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1729,10212931,199713,234
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1710,17644984,199659,210
