Treatment,COPY_MUT_PROB,COPY_INS_PROB,COPY_DEL_PROB,DIVIDE_INS_PROB,DIVIDE_DEL_PROB,DIVIDE_SLIP_PROB,SLIP_FILL_MODE,Replicate #,Length,Number of Coding Sites,Fraction of Redundant Non-Coding Sites
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1737,168,80,0
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1712,293,85,0
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1716,100,42,0
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1728,251,71,0
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1722,428,134,0
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1734,235,77,0
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1738,475,83,0
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1713,427,101,0
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1717,174,39,0
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1723,198,88,0
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1735,332,107,0
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1739,275,86,0
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1720,232,77,0
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1718,412,109,0
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1724,141,70,0
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1730,186,109,0
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1721,236,88,0
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1719,234,132,0
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1725,217,81,0
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1731,322,111,0
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1729,234,80,0
Slip-scramble,0.0,0.0,0.0,0.0,0.0,0.05,3,1710,210,99,0
