# Avida new tasks data
# Mon Feb  7 14:15:55 2022
# First column gives the current update, all further columns give the number
# of times the particular task has newly evolved since the last time printed.
#  1: Update
#  2: Not
#  3: Nand
#  4: And
#  5: OrNot
#  6: Or
#  7: AndNot
#  8: Nor
#  9: Xor
# 10: Equals

0 0 0 0 0 0 0 0 0 0 
100 0 0 0 0 0 0 0 0 0 
200 0 0 0 0 0 0 0 0 0 
300 0 0 0 0 0 0 0 0 0 
400 0 0 0 0 0 0 0 0 0 
500 0 0 0 0 0 0 0 0 0 
600 0 0 0 0 0 0 0 0 0 
700 0 0 0 0 0 0 0 0 0 
800 0 0 0 0 0 0 0 0 0 
900 0 0 0 0 0 0 0 0 0 
1000 0 0 0 0 0 0 0 0 0 
1100 0 0 0 0 0 0 0 0 0 
1200 0 0 0 0 0 0 0 0 0 
1300 3 0 0 0 0 0 0 0 0 
1400 7 0 0 0 0 0 0 0 0 
1500 39 0 0 1 0 0 0 0 0 
1600 95 1 0 0 0 0 0 0 0 
1700 171 1 0 1 0 1 0 0 0 
1800 238 3 0 1 0 0 0 0 0 
1900 163 36 9 2 2 0 0 0 0 
2000 72 77 1 15 11 0 0 0 0 
2100 34 100 2 16 1 0 0 0 0 
2200 25 115 0 23 20 0 0 0 0 
2300 38 190 0 18 46 0 0 0 0 
2400 31 153 0 25 45 0 0 0 0 
2500 24 37 0 22 27 0 0 0 0 
2600 47 29 0 30 26 0 1 0 0 
2700 30 13 0 10 20 0 0 0 0 
2800 37 13 0 20 33 0 0 0 0 
2900 52 13 0 18 28 0 0 0 0 
3000 53 13 0 33 28 0 0 0 0 
3100 77 21 0 26 34 1 0 0 0 
3200 36 20 0 28 25 0 0 0 0 
3300 59 24 0 27 36 0 1 0 0 
3400 30 20 0 24 26 1 1 0 0 
3500 33 17 0 23 30 0 0 0 0 
3600 42 11 0 12 38 1 0 0 0 
3700 46 19 0 22 34 1 0 0 0 
3800 39 17 0 27 30 1 1 0 0 
3900 31 21 1 35 43 1 1 0 0 
4000 26 24 0 29 25 1 0 0 0 
4100 37 15 0 27 24 1 1 0 0 
4200 40 21 0 30 26 0 1 0 0 
4300 47 24 0 23 32 1 0 0 0 
4400 45 14 0 15 40 0 1 0 0 
4500 29 20 1 14 35 0 0 0 0 
4600 31 22 1 22 33 1 1 0 0 
4700 45 29 15 30 36 4 4 0 0 
4800 45 16 138 17 47 27 37 0 0 
4900 53 7 179 14 36 19 34 0 0 
5000 24 11 142 14 35 32 27 0 0 
5100 35 13 153 3 50 19 21 0 0 
5200 37 3 188 9 57 2 4 0 0 
5300 33 4 153 10 73 9 8 0 0 
5400 22 3 190 5 82 2 5 0 0 
5500 28 1 184 8 64 2 2 0 0 
5600 57 7 157 6 80 4 5 1 0 
5700 51 5 167 6 60 9 7 0 0 
5800 41 7 165 12 60 12 4 0 0 
5900 48 5 162 6 69 2 5 0 0 
6000 48 9 181 8 64 7 7 0 0 
6100 37 5 178 7 60 6 12 0 0 
6200 28 5 189 8 71 13 11 0 1 
6300 41 9 152 8 59 4 5 1 0 
6400 47 11 167 6 66 5 3 0 0 
6500 40 6 175 10 61 12 11 0 0 
6600 23 9 147 14 70 3 4 0 0 
6700 17 7 159 13 66 6 8 0 0 
6800 44 4 153 8 75 6 2 0 0 
6900 30 11 181 14 70 12 8 0 0 
7000 37 9 178 8 90 5 9 0 0 
7100 30 5 178 9 71 10 8 1 0 
7200 40 9 183 7 64 14 12 0 0 
7300 35 7 163 2 78 2 3 0 0 
7400 46 13 162 6 51 11 11 0 0 
7500 59 8 153 9 64 6 14 0 0 
7600 37 10 192 6 63 5 8 2 0 
7700 23 6 179 9 67 9 9 0 0 
7800 27 0 163 7 66 2 5 0 0 
7900 30 9 176 7 54 4 10 0 0 
8000 36 8 168 10 68 7 11 0 0 
8100 46 8 159 4 56 3 16 0 0 
8200 23 7 161 11 56 5 13 0 0 
8300 35 9 177 6 61 2 17 0 0 
8400 19 8 155 6 66 5 28 0 0 
8500 15 6 26 6 80 6 10 0 3 
8600 15 3 9 3 67 12 1 0 3 
8700 19 9 1 6 68 9 4 0 10 
8800 40 10 4 9 72 12 5 0 4 
8900 10 1 3 10 63 12 3 0 4 
9000 44 5 0 6 64 10 3 0 5 
9100 37 3 2 5 60 24 5 0 3 
9200 16 3 2 8 72 14 1 0 6 
9300 27 3 6 7 67 22 8 0 5 
9400 24 5 4 6 63 15 8 0 0 
9500 20 3 0 8 79 12 4 0 6 
9600 41 3 3 5 77 6 5 0 2 
9700 10 9 0 6 58 7 5 0 6 
9800 23 12 0 6 66 8 2 0 4 
9900 21 4 4 9 61 15 5 0 4 
