# Avida Dominant Data
# Mon Feb  7 14:15:55 2022
#  1: Update
#  2: Average Merit of the Dominant Genotype
#  3: Average Gestation Time of the Dominant Genotype
#  4: Average Fitness of the Dominant Genotype
#  5: Repro Rate?
#  6: Size of Dominant Genotype
#  7: Copied Size of Dominant Genotype
#  8: Executed Size of Dominant Genotype
#  9: Abundance of Dominant Genotype
# 10: Number of Births
# 11: Number of Dominant Breed True?
# 12: Dominant Gene Depth
# 13: Dominant Breed In
# 14: Max Fitness?
# 15: Genotype ID of Dominant Genotype
# 16: Name of the Dominant Genotype

5000 1536 271 5.6679 0.00369004 100 100 0 111 8 8 33 0 5.6679 299079 100-aakbo 
5100 3104 269 11.539 0.00371747 100 100 0 756 99 73 36 0 11.539 322404 100-aamlk 
5200 3104 269 11.539 0.00371747 100 100 0 704 59 42 36 0 11.539 322404 100-aamlk 
5300 3104 269 11.539 0.00371747 100 100 0 413 51 38 36 0 11.539 322404 100-aamlk 
5400 3104 269 11.539 0.00371747 100 100 0 229 12 10 36 0 11.539 322404 100-aamlk 
5500 3104 269 11.539 0.00371747 100 100 0 193 19 13 36 0 11.539 322404 100-aamlk 
5600 3104 269 11.539 0.00371747 100 100 0 106 7 5 36 0 11.539 322404 100-aamlk 
5700 3104 269 11.539 0.00371747 100 100 0 58 7 5 37 0 11.539 324919 100-aamvw 
5800 3104 268 11.5821 0.00373134 100 100 0 52 2 1 40 0 11.5821 358387 100-aaqgr 
5900 3104 268 11.5821 0.00373134 100 100 0 38 1 0 39 0 11.5821 364252 100-aaqxa 
6000 3104 268 11.5821 0.00373134 100 100 0 41 11 7 38 0 11.5821 351125 100-aappd 
6100 3104 268 11.5821 0.00373134 100 100 0 44 1 1 41 0 11.5821 358991 100-aaqio 
6200 3104 267 11.6255 0.00374532 100 100 0 56 4 2 41 0 11.6255 386193 100-aatcc 
6300 3072 268 11.4627 0.00373134 100 100 0 55 4 4 41 0 11.4627 392295 100-aatsn 
6400 3072 268 11.4627 0.00373134 100 100 0 72 6 5 41 0 11.4627 392295 100-aatsn 
6500 3104 270 11.4963 0.0037037 100 100 0 47 3 2 39 0 11.4963 400464 100-aauqi 
6600 3104 268 11.5821 0.00373134 100 100 0 70 2 2 39 0 11.5821 399954 100-aaumc 
6700 3072 267 11.5056 0.00374532 100 100 0 36 1 1 43 0 11.5056 385329 100-aaszq 
6800 3104 268 11.5821 0.00373134 100 100 0 49 4 4 39 0 11.5821 399954 100-aaumc 
6900 3104 268 11.5821 0.00373134 100 100 0 41 2 2 39 0 11.5821 399954 100-aaumc 
7000 3104 269 11.539 0.00371747 100 100 0 42 7 6 39 0 11.539 423867 100-aaxbk 
7100 3104 269 11.539 0.00371747 100 100 0 46 8 4 39 0 11.539 423867 100-aaxbk 
7200 3104 266 11.6692 0.0037594 100 100 0 49 9 7 44 0 11.6692 449610 100-aazse 
7300 3104 266 11.6692 0.0037594 100 100 0 44 3 3 44 0 11.6692 449610 100-aazse 
7400 3104 264 11.7576 0.00378788 100 100 0 40 2 1 46 0 11.7576 458516 100-abapl 
7500 3104 263 11.8023 0.00380228 100 100 0 34 5 2 48 0 11.8023 479601 100-abcnx 
