Treatment,COPY_MUT_PROB,COPY_INS_PROB,COPY_DEL_PROB,DIVIDE_INS_PROB,DIVIDE_DEL_PROB,DIVIDE_SLIP_PROB,SLIP_FILL_MODE,Replicate #,Information Type,Information,Information Concentration
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1641,Task Count,54.0,0.54000000000000004
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1641,gest_time,63.0,0.63
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1641,comp_merit,54.0,0.54000000000000004
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1641,merit,59.0,0.58999999999999997
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1641,fitness,79.0,0.79000000000000004
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1641,efficiency,63.0,0.63
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1641,viable,16.0,0.16
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1639,Task Count,53.0,0.53000000000000003
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1639,gest_time,63.0,0.63
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1639,comp_merit,53.0,0.53000000000000003
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1639,merit,56.0,0.56000000000000005
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1639,fitness,82.0,0.81999999999999995
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1639,efficiency,64.0,0.64000000000000001
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1639,viable,15.0,0.14999999999999999
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1645,Task Count,47.0,0.46999999999999997
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1645,gest_time,61.0,0.60999999999999999
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1645,comp_merit,47.0,0.46999999999999997
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1645,merit,47.0,0.46999999999999997
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1645,fitness,71.0,0.70999999999999996
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1645,efficiency,61.0,0.60999999999999999
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1645,viable,21.0,0.20999999999999999
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1649,Task Count,56.0,0.35897435897435898
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1649,gest_time,78.0,0.5
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1649,comp_merit,56.0,0.35897435897435898
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1649,merit,68.0,0.4358974358974359
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1649,fitness,95.0,0.60897435897435892
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1649,efficiency,79.0,0.50641025641025639
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1649,viable,28.0,0.17948717948717949
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1624,Task Count,42.0,0.41999999999999998
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1624,gest_time,65.0,0.65000000000000002
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1624,comp_merit,42.0,0.41999999999999998
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1624,merit,44.0,0.44
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1624,fitness,69.0,0.68999999999999995
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1624,efficiency,65.0,0.65000000000000002
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1624,viable,16.0,0.16
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1630,Task Count,57.0,0.3413173652694611
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1630,gest_time,62.0,0.3712574850299401
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1630,comp_merit,57.0,0.3413173652694611
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1630,merit,62.0,0.3712574850299401
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1630,fitness,82.0,0.49101796407185627
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1630,efficiency,68.0,0.40718562874251496
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1630,viable,28.0,0.16766467065868262
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1628,Task Count,50.0,0.5
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1628,gest_time,68.0,0.68000000000000005
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1628,comp_merit,50.0,0.5
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1628,merit,50.0,0.5
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1628,fitness,83.0,0.82999999999999996
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1628,efficiency,68.0,0.68000000000000005
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1628,viable,18.0,0.17999999999999999
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1634,Task Count,40.0,0.38095238095238093
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1634,gest_time,60.0,0.5714285714285714
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1634,comp_merit,40.0,0.38095238095238093
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1634,merit,42.0,0.40000000000000002
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1634,fitness,69.0,0.65714285714285714
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1634,efficiency,60.0,0.5714285714285714
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1634,viable,15.0,0.14285714285714285
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1646,Task Count,47.0,0.46999999999999997
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1646,gest_time,62.0,0.62
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1646,comp_merit,47.0,0.46999999999999997
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1646,merit,54.0,0.54000000000000004
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1646,fitness,80.0,0.80000000000000004
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1646,efficiency,69.0,0.68999999999999995
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1646,viable,10.0,0.10000000000000001
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1625,Task Count,86.0,0.22994652406417113
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1625,gest_time,159.0,0.42513368983957217
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1625,comp_merit,86.0,0.22994652406417113
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1625,merit,131.0,0.3502673796791444
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1625,fitness,183.0,0.48930481283422461
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1625,efficiency,164.0,0.43850267379679142
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1625,viable,39.0,0.10427807486631016
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1631,Task Count,47.0,0.46999999999999997
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1631,gest_time,63.0,0.63
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1631,comp_merit,47.0,0.46999999999999997
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1631,merit,51.0,0.51000000000000001
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1631,fitness,74.0,0.73999999999999999
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1631,efficiency,63.0,0.63
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1631,viable,10.0,0.10000000000000001
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1629,Task Count,48.0,0.47999999999999998
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1629,gest_time,61.0,0.60999999999999999
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1629,comp_merit,48.0,0.47999999999999998
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1629,merit,54.0,0.54000000000000004
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1629,fitness,72.0,0.71999999999999997
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1629,efficiency,61.0,0.60999999999999999
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1629,viable,18.0,0.17999999999999999
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1635,Task Count,66.0,0.36065573770491804
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1635,gest_time,81.0,0.44262295081967212
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1635,comp_merit,66.0,0.36065573770491804
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1635,merit,71.0,0.38797814207650272
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1635,fitness,104.0,0.56830601092896171
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1635,efficiency,81.0,0.44262295081967212
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1635,viable,17.0,0.092896174863387984
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1647,Task Count,46.0,0.46000000000000002
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1647,gest_time,61.0,0.60999999999999999
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1647,comp_merit,46.0,0.46000000000000002
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1647,merit,47.0,0.46999999999999997
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1647,fitness,77.0,0.77000000000000002
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1647,efficiency,61.0,0.60999999999999999
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1647,viable,17.0,0.17000000000000001
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1626,Task Count,61.0,0.34078212290502791
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1626,gest_time,73.0,0.40782122905027934
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1626,comp_merit,61.0,0.34078212290502791
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1626,merit,68.0,0.37988826815642457
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1626,fitness,98.0,0.54748603351955305
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1626,efficiency,78.0,0.43575418994413406
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1626,viable,18.0,0.1005586592178771
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1620,Task Count,43.0,0.42999999999999999
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1620,gest_time,48.0,0.47999999999999998
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1620,comp_merit,43.0,0.42999999999999999
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1620,merit,45.0,0.45000000000000001
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1620,fitness,69.0,0.68999999999999995
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1620,efficiency,49.0,0.48999999999999999
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1620,viable,10.0,0.10000000000000001
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1632,Task Count,69.0,0.68999999999999995
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1632,gest_time,77.0,0.77000000000000002
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1632,comp_merit,69.0,0.68999999999999995
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1632,merit,73.0,0.72999999999999998
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1632,fitness,90.0,0.90000000000000002
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1632,efficiency,77.0,0.77000000000000002
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1632,viable,17.0,0.17000000000000001
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1636,Task Count,54.0,0.54000000000000004
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1636,gest_time,68.0,0.68000000000000005
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1636,comp_merit,54.0,0.54000000000000004
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1636,merit,55.0,0.55000000000000004
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1636,fitness,83.0,0.82999999999999996
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1636,efficiency,69.0,0.68999999999999995
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1636,viable,23.0,0.23000000000000001
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1648,Task Count,61.0,0.60999999999999999
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1648,gest_time,69.0,0.68999999999999995
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1648,comp_merit,61.0,0.60999999999999999
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1648,merit,66.0,0.66000000000000003
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1648,fitness,86.0,0.85999999999999999
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1648,efficiency,71.0,0.70999999999999996
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1648,viable,17.0,0.17000000000000001
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1642,Task Count,49.0,0.48999999999999999
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1642,gest_time,54.0,0.54000000000000004
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1642,comp_merit,49.0,0.48999999999999999
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1642,merit,52.0,0.52000000000000002
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1642,fitness,68.0,0.68000000000000005
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1642,efficiency,54.0,0.54000000000000004
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1642,viable,16.0,0.16
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1621,Task Count,50.0,0.5
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1621,gest_time,58.0,0.57999999999999996
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1621,comp_merit,50.0,0.5
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1621,merit,53.0,0.53000000000000003
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1621,fitness,70.0,0.69999999999999996
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1621,efficiency,58.0,0.57999999999999996
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1621,viable,18.0,0.17999999999999999
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1633,Task Count,50.0,0.5
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1633,gest_time,65.0,0.65000000000000002
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1633,comp_merit,50.0,0.5
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1633,merit,51.0,0.51000000000000001
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1633,fitness,79.0,0.79000000000000004
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1633,efficiency,69.0,0.68999999999999995
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,1633,viable,24.0,0.23999999999999999
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1533,Task Count,40.0,0.34482758620689657
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1533,gest_time,67.0,0.57758620689655171
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1533,comp_merit,40.0,0.34482758620689657
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1533,merit,46.0,0.39655172413793105
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1533,fitness,82.0,0.7068965517241379
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1533,efficiency,69.0,0.59482758620689657
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1533,viable,32.0,0.27586206896551724
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1545,Task Count,53.0,0.53000000000000003
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1545,gest_time,73.0,0.72999999999999998
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1545,comp_merit,53.0,0.53000000000000003
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1545,merit,53.0,0.53000000000000003
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1545,fitness,87.0,0.87
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1545,efficiency,73.0,0.72999999999999998
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1545,viable,19.0,0.19
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1551,Task Count,55.0,0.55000000000000004
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1551,gest_time,68.0,0.68000000000000005
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1551,comp_merit,55.0,0.55000000000000004
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1551,merit,60.0,0.59999999999999998
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1551,fitness,83.0,0.82999999999999996
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1551,efficiency,70.0,0.69999999999999996
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1551,viable,13.0,0.13
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1549,Task Count,63.0,0.52941176470588236
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1549,gest_time,77.0,0.6470588235294118
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1549,comp_merit,63.0,0.52941176470588236
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1549,merit,66.0,0.55462184873949583
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1549,fitness,101.0,0.84873949579831931
