,Task Coding Sites,Number of Task Coding Sites,Number of Unique Coding Sites,Viability Sites,Number of Viability Sites,Genome Length,Fraction Task Coding Sites,Fraction Viability Sites,Ratio of Viability Sites to Coding Sites,Genome
"run_1533,NOT","[41, 61]",2,10,"[1, 2, 3, 4, 5, 6, 24, 42, 43, 56, 63, 76, 78, 79, 83, 90, 96, 102, 103, 104, 105]",21,106,0.09433962264150944,0.19811320754716982,2.1,fwzcagchufncunxucocdcoclvqyccejqbqjzclczcuycdcccffcAcbcAvcccctyuxcccawocccucoyycfpevwmcjrsvayoAmzvvfcaxgab
"run_1533,NAND","[62, 75, 77]",3,10,"[1, 2, 3, 4, 5, 6, 24, 42, 43, 56, 63, 76, 78, 79, 83, 90, 96, 102, 103, 104, 105]",21,106,0.09433962264150944,0.19811320754716982,2.1,fwzcagchufncunxucocdcoclvqyccejqbqjzclczcuycdcccffcAcbcAvcccctyuxcccawocccucoyycfpevwmcjrsvayoAmzvvfcaxgab
"run_1533,AND",[75],1,10,"[1, 2, 3, 4, 5, 6, 24, 42, 43, 56, 63, 76, 78, 79, 83, 90, 96, 102, 103, 104, 105]",21,106,0.09433962264150944,0.19811320754716982,2.1,fwzcagchufncunxucocdcoclvqyccejqbqjzclczcuycdcccffcAcbcAvcccctyuxcccawocccucoyycfpevwmcjrsvayoAmzvvfcaxgab
"run_1533,ORNOT","[62, 74]",2,10,"[1, 2, 3, 4, 5, 6, 24, 42, 43, 56, 63, 76, 78, 79, 83, 90, 96, 102, 103, 104, 105]",21,106,0.09433962264150944,0.19811320754716982,2.1,fwzcagchufncunxucocdcoclvqyccejqbqjzclczcuycdcccffcAcbcAvcccctyuxcccawocccucoyycfpevwmcjrsvayoAmzvvfcaxgab
"run_1533,OR",[],0,10,"[1, 2, 3, 4, 5, 6, 24, 42, 43, 56, 63, 76, 78, 79, 83, 90, 96, 102, 103, 104, 105]",21,106,0.09433962264150944,0.19811320754716982,2.1,fwzcagchufncunxucocdcoclvqyccejqbqjzclczcuycdcccffcAcbcAvcccctyuxcccawocccucoyycfpevwmcjrsvayoAmzvvfcaxgab
"run_1533,ANDNOT","[62, 75, 77, 81, 85, 89, 92]",7,10,"[1, 2, 3, 4, 5, 6, 24, 42, 43, 56, 63, 76, 78, 79, 83, 90, 96, 102, 103, 104, 105]",21,106,0.09433962264150944,0.19811320754716982,2.1,fwzcagchufncunxucocdcoclvqyccejqbqjzclczcuycdcccffcAcbcAvcccctyuxcccawocccucoyycfpevwmcjrsvayoAmzvvfcaxgab
"run_1533,NOR",[],0,10,"[1, 2, 3, 4, 5, 6, 24, 42, 43, 56, 63, 76, 78, 79, 83, 90, 96, 102, 103, 104, 105]",21,106,0.09433962264150944,0.19811320754716982,2.1,fwzcagchufncunxucocdcoclvqyccejqbqjzclczcuycdcccffcAcbcAvcccctyuxcccawocccucoyycfpevwmcjrsvayoAmzvvfcaxgab
"run_1533,XOR",[],0,10,"[1, 2, 3, 4, 5, 6, 24, 42, 43, 56, 63, 76, 78, 79, 83, 90, 96, 102, 103, 104, 105]",21,106,0.09433962264150944,0.19811320754716982,2.1,fwzcagchufncunxucocdcoclvqyccejqbqjzclczcuycdcccffcAcbcAvcccctyuxcccawocccucoyycfpevwmcjrsvayoAmzvvfcaxgab
"run_1533,EQUALS",[],0,10,"[1, 2, 3, 4, 5, 6, 24, 42, 43, 56, 63, 76, 78, 79, 83, 90, 96, 102, 103, 104, 105]",21,106,0.09433962264150944,0.19811320754716982,2.1,fwzcagchufncunxucocdcoclvqyccejqbqjzclczcuycdcccffcAcbcAvcccctyuxcccawocccucoyycfpevwmcjrsvayoAmzvvfcaxgab
"run_1545,NOT","[59, 67, 74, 78, 79, 80, 81, 86, 87]",9,24,"[0, 1, 2, 3, 4, 5, 45, 50, 51, 89, 90, 91, 92, 93, 97, 98, 99, 100]",18,101,0.2376237623762376,0.1782178217821782,0.75,wzcagcjlblclzmcaclwbkpayeclxcycwcouucyclcwokcqrcicpcojcceccytfhjccsrwbvbcscccctcncndclycxzvvvvfcaxgab
"run_1545,NAND","[21, 22, 23, 24, 25, 29, 30, 36, 40, 44, 47, 59]",12,24,"[0, 1, 2, 3, 4, 5, 45, 50, 51, 89, 90, 91, 92, 93, 97, 98, 99, 100]",18,101,0.2376237623762376,0.1782178217821782,0.75,wzcagcjlblclzmcaclwbkpayeclxcycwcouucyclcwokcqrcicpcojcceccytfhjccsrwbvbcscccctcncndclycxzvvvvfcaxgab
"run_1545,AND",[59],1,24,"[0, 1, 2, 3, 4, 5, 45, 50, 51, 89, 90, 91, 92, 93, 97, 98, 99, 100]",18,101,0.2376237623762376,0.1782178217821782,0.75,wzcagcjlblclzmcaclwbkpayeclxcycwcouucyclcwokcqrcicpcojcceccytfhjccsrwbvbcscccctcncndclycxzvvvvfcaxgab
"run_1545,ORNOT","[21, 22, 23, 24, 25, 29, 30, 34, 35, 37, 38]",11,24,"[0, 1, 2, 3, 4, 5, 45, 50, 51, 89, 90, 91, 92, 93, 97, 98, 99, 100]",18,101,0.2376237623762376,0.1782178217821782,0.75,wzcagcjlblclzmcaclwbkpayeclxcycwcouucyclcwokcqrcicpcojcceccytfhjccsrwbvbcscccctcncndclycxzvvvvfcaxgab
"run_1545,OR",[],0,24,"[0, 1, 2, 3, 4, 5, 45, 50, 51, 89, 90, 91, 92, 93, 97, 98, 99, 100]",18,101,0.2376237623762376,0.1782178217821782,0.75,wzcagcjlblclzmcaclwbkpayeclxcycwcouucyclcwokcqrcicpcojcceccytfhjccsrwbvbcscccctcncndclycxzvvvvfcaxgab
"run_1545,ANDNOT",[],0,24,"[0, 1, 2, 3, 4, 5, 45, 50, 51, 89, 90, 91, 92, 93, 97, 98, 99, 100]",18,101,0.2376237623762376,0.1782178217821782,0.75,wzcagcjlblclzmcaclwbkpayeclxcycwcouucyclcwokcqrcicpcojcceccytfhjccsrwbvbcscccctcncndclycxzvvvvfcaxgab
"run_1545,NOR",[],0,24,"[0, 1, 2, 3, 4, 5, 45, 50, 51, 89, 90, 91, 92, 93, 97, 98, 99, 100]",18,101,0.2376237623762376,0.1782178217821782,0.75,wzcagcjlblclzmcaclwbkpayeclxcycwcouucyclcwokcqrcicpcojcceccytfhjccsrwbvbcscccctcncndclycxzvvvvfcaxgab
"run_1545,XOR",[],0,24,"[0, 1, 2, 3, 4, 5, 45, 50, 51, 89, 90, 91, 92, 93, 97, 98, 99, 100]",18,101,0.2376237623762376,0.1782178217821782,0.75,wzcagcjlblclzmcaclwbkpayeclxcycwcouucyclcwokcqrcicpcojcceccytfhjccsrwbvbcscccctcncndclycxzvvvvfcaxgab
"run_1545,EQUALS",[],0,24,"[0, 1, 2, 3, 4, 5, 45, 50, 51, 89, 90, 91, 92, 93, 97, 98, 99, 100]",18,101,0.2376237623762376,0.1782178217821782,0.75,wzcagcjlblclzmcaclwbkpayeclxcycwcouucyclcwokcqrcicpcojcceccytfhjccsrwbvbcscccctcncndclycxzvvvvfcaxgab
"run_1551,NOT","[58, 74, 75, 81, 82, 84, 85, 87]",8,32,"[0, 1, 2, 3, 60, 61, 88, 89, 90, 91, 92, 96, 97, 98, 99]",15,100,0.32,0.15,0.46875,wzcaAyAccccwukcyqrxclscAccntxcayccumcscccccycyycfuccsyciosqcgcccAcmtccbAnyprydlocuccyudyzvvvvfcaxgab
"run_1551,NAND","[45, 49, 50, 53, 54]",5,32,"[0, 1, 2, 3, 60, 61, 88, 89, 90, 91, 92, 96, 97, 98, 99]",15,100,0.32,0.15,0.46875,wzcaAyAccccwukcyqrxclscAccntxcayccumcscccccycyycfuccsyciosqcgcccAcmtccbAnyprydlocuccyudyzvvvvfcaxgab
"run_1551,AND","[15, 17, 21, 22, 26, 27, 31, 32, 34, 35, 37]",11,32,"[0, 1, 2, 3, 60, 61, 88, 89, 90, 91, 92, 96, 97, 98, 99]",15,100,0.32,0.15,0.46875,wzcaAyAccccwukcyqrxclscAccntxcayccumcscccccycyycfuccsyciosqcgcccAcmtccbAnyprydlocuccyudyzvvvvfcaxgab
"run_1551,ORNOT","[15, 17, 21, 22, 26, 27, 31, 32, 34, 36, 38, 45]",12,32,"[0, 1, 2, 3, 60, 61, 88, 89, 90, 91, 92, 96, 97, 98, 99]",15,100,0.32,0.15,0.46875,wzcaAyAccccwukcyqrxclscAccntxcayccumcscccccycyycfuccsyciosqcgcccAcmtccbAnyprydlocuccyudyzvvvvfcaxgab
"run_1551,OR",[],0,32,"[0, 1, 2, 3, 60, 61, 88, 89, 90, 91, 92, 96, 97, 98, 99]",15,100,0.32,0.15,0.46875,wzcaAyAccccwukcyqrxclscAccntxcayccumcscccccycyycfuccsyciosqcgcccAcmtccbAnyprydlocuccyudyzvvvvfcaxgab
