Treatment,COPY_MUT_PROB,COPY_INS_PROB,COPY_DEL_PROB,DIVIDE_INS_PROB,DIVIDE_DEL_PROB,DIVIDE_SLIP_PROB,SLIP_FILL_MODE,Replicate #,Organism ID,Update Born,Task Count
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1559,19150902,199609,7
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1538,21734293,199774,6
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1532,19572275,199858,7
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1544,19311524,199549,6
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1550,17880729,199460,7
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1548,19807440,199742,5
Baseline-Treatment,0.0025,0.0,0.0,0.05,0.05,0.0,0,1554,25471539,199417,7
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1566,46742828,199966,7
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1572,46360627,199976,7
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1588,43124326,199755,7
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1567,48623473,199915,6
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1573,47010169,199939,7
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1577,39811915,199926,9
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1589,46157314,199919,6
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1568,47568723,199937,7
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1562,42208497,199974,9
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1574,42976888,199963,7
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1580,46904439,199973,8
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1578,10653904,199866,9
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1584,48036452,199967,8
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1563,47705735,199967,7
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1575,41830068,199922,7
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1581,35050006,199923,8
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1579,41702197,199905,7
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1585,44781214,199942,9
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1560,48117036,199978,6
High-Mutation,0.0025,0.0075,0.0075,0.05,0.05,0.0,0,1564,47913639,199962,7
